sample	standard_curve	ngml_av	se_mean	flag
A1	MoPrP16	115.059	0.214	
A2	MoPrP16	116.34	1.068	
B1	MoPrP16	94.695	0.747	
B2	MoPrP16	96.082	0.641	
C1	MoPrP16	69.102	2.198	
C2	MoPrP16	87.096	2.574	
D1	MoPrP16	94.051	3.952	
D2	MoPrP16	90.633	1.819	
E1	MoPrP16	67.769	3.968	
E2	MoPrP16	71.078	1.753	
F1	MoPrP16	78.046	2.166	
F2	MoPrP16	75.227	0.652	
G1	MoPrP16	57.066	0.453	
G2	MoPrP16	55.345	3.079	
H1	MoPrP16	70.751	1.205	
H2	MoPrP16	59.492	6.306	
I1	MoPrP16	55.922	2.276	
I2	MoPrP16	48.782	0.702	
J1	MoPrP16	65.24	1.663	
J2	MoPrP16	74.899	1.849	
K1	MoPrP16	41.157	1.215	
K2	MoPrP16	43.33	1.44	
L1	MoPrP16	55.7	1.139	
L2	MoPrP16	52.727	0.46	
M1	MoPrP16	37.97	0.248	
M2	MoPrP16	36.566	3.13	
N1	MoPrP16	51.221	1.736	
Neg	MoPrP16	NA	NA	
O1	MoPrP16	33.56	1.151	
P1	MoPrP16	125.764	4.721	
P2	MoPrP16	129.45	10.546	
PosHiQC	MoPrP16	151.141	4.174	
PosLoQC	MoPrP16	22.761	2.714	
PosMidQC	MoPrP16	71.719	11.942	
Q1	MoPrP16	44.278	2.389	
R1	MoPrP16	33.642	3.583	
S1	MoPrP16	130.387	5.059	
S2	MoPrP16	124.152	3.108	
T1	MoPrP16	68.226	0.661	
U2	MoPrP16	39.036	3.818	
