sample	standard_curve	ngml_av	se_mean	flag
A3	MoPrP16	293.784	14.995	
A4	MoPrP16	339.754	21.514	
B5	MoPrP16	258.848	4.363	
C5	MoPrP16	189.095	7.574	
D5	MoPrP16	236.557	9.256	
E5	MoPrP16	183.293	4.663	
F5	MoPrP16	209.969	0.651	
G5	MoPrP16	121.448	7.351	
H5	MoPrP16	192.798	5.165	
I5	MoPrP16	135.338	1.754	
J5	MoPrP16	223.202	3.443	
K5	MoPrP16	112.975	2.083	
L5	MoPrP16	150.647	6.858	
M5	MoPrP16	110.886	4.811	
N3	MoPrP16	120.975	2.717	
N4	MoPrP16	141.875	3.188	
Neg	MoPrP16	13.52	2.619	
O3	MoPrP16	93.794	7.131	
O4	MoPrP16	106.394	3.214	
P3	MoPrP16	352.35	2.357	
P4	MoPrP16	344.95	5.043	
PosHiQC	MoPrP16	288.363	1.716	
PosLoQC	MoPrP16	52.891	5.869	
PosMidQC	MoPrP16	191.018	1.129	
Q3	MoPrP16	124.649	2.235	
Q4	MoPrP16	155.75	1.117	
R3	MoPrP16	89.919	0.65	
R4	MoPrP16	90.719	5.362	
S3	MoPrP16	358.38	8.387	
S4	MoPrP16	361.464	4.938	
T3	MoPrP16	187.155	4.992	
T4	MoPrP16	194.731	1.938	
U4	MoPrP16	124.011	1.277	
U5	MoPrP16	149.688	2.073	
