sample	standard_curve	ngml_av	se_mean	flag
A1	MoPrP16	103.504	0.733	
A2	MoPrP16	101.915	2.809	
B1	MoPrP16	68.92	0.892	
B2	MoPrP16	64.82	0.387	
B3	MoPrP16	65.078	0.129	
B4	MoPrP16	69.176	0.382	
B5	MoPrP16	68.538	0.255	
B6	MoPrP16	79.131	0.998	
C1	MoPrP16	92.734	2.21	
C2	MoPrP16	90.77	0.246	
D1	MoPrP16	80.626	1.495	
D2	MoPrP16	68.538	0.255	
D3	MoPrP16	66.235	0.257	
D4	MoPrP16	69.176	0.127	
D5	MoPrP16	53.391	0.268	
D6	MoPrP16	63.658	0.259	
E1	MoPrP16	83.485	0.62	
E2	MoPrP16	76.127	0.753	
F1	MoPrP16	65.976	1.028	
F2	MoPrP16	59.097	0.656	
F3	MoPrP16	52.719	0.674	
F4	MoPrP16	62.88	1.038	
F5	MoPrP16	75.728	4.9	
F6	MoPrP16	67.514	1.279	
MoNeg	MoPrP16	10.24	0	LLQ
MoPosHiQC	MoPrP16	209.619	0.819	
MoPosLoQC	MoPrP16	29.319	2.381	
MoPosMidQC	MoPrP16	106.431	0.244	
