sample	standard_curve	ngml_av	se_mean	flag
A2	MoPrP16	263.902	0.926	
A3	MoPrP16	276.375	3.366	
B3	MoPrP16	238.394	3.639	
B4	MoPrP16	214.554	2.151	
C3	MoPrP16	190.149	5.847	
C4	MoPrP16	177.786	9.346	
D3	MoPrP16	200.28	8.187	
D4	MoPrP16	193.512	1.064	
E3	MoPrP16	142.31	0.876	
E4	MoPrP16	136.182	2.452	
F3	MoPrP16	171.782	0.88	
F4	MoPrP16	214.379	4.124	
G3	MoPrP16	118.124	2.283	
G4	MoPrP16	154.404	8.766	
H3	MoPrP16	166.164	7.907	
H4	MoPrP16	133.546	14.544	
I3	MoPrP16	87.682	1.968	
I4	MoPrP16	85.176	0.538	
J3	MoPrP16	146.865	2.978	
J4	MoPrP16	146.164	0.525	
K3	MoPrP16	101.558	0.53	
K4	MoPrP16	90.899	1.605	
L3	MoPrP16	103.326	0.884	
L4	MoPrP16	101.909	2.654	
M3	MoPrP16	80.32	1.443	
M4	MoPrP16	72.523	2.733	
N2	MoPrP16	140.734	2.452	
Neg	MoPrP16	9.891	0.349	
O2	MoPrP16	68.135	2.386	
P2	MoPrP16	280.492	1.876	
P3	MoPrP16	261.346	9.799	
PosHiQC	MoPrP16	206.7	8.571	
PosLoQC	MoPrP16	31.049	1.235	
PosMidQC	MoPrP16	135.656	4.378	
Q2	MoPrP16	101.024	2.478	
R2	MoPrP16	104.38	5.125	
S2	MoPrP16	286.148	6.407	
S3	MoPrP16	281.241	0	
T2	MoPrP16	141.085	0	
U3	MoPrP16	86.072	0.717	
