sample	standard_curve	ngml_av	se_mean	flag
Mo Pos Hi QC	MoPrP16	213.041	0.127	
Mo Pos Lo QC	MoPrP16	38.102	0.243	
Mo Pos Mid QC	MoPrP16	109.162	2.175	
Mo Pos Neg QC	MoPrP16	17.569	0.136	
VL23-01 1	MoPrP16	7.535	0.352	
VL23-01 1 + spin	MoPrP16	7.537	0.071	
VL23-01 10	MoPrP16	14.602	0.378	
VL23-01 10 + spin	MoPrP16	11.589	0.066	
VL23-01 11	MoPrP16	44.195	0.855	
VL23-01 11 + spin	MoPrP16	28.184	0.35	
VL23-01 12	MoPrP16	7.254	0.071	
VL23-01 12 + spin	MoPrP16	5.808	0.369	
VL23-01 2	MoPrP16	3.411	0.49	
VL23-01 2 + spin	MoPrP16	5.12	0	LLQ
VL23-01 3	MoPrP16	5.587	0.297	
VL23-01 3 + spin	MoPrP16	4.527	0.31	
VL23-01 4	MoPrP16	5.12	0	LLQ
VL23-01 4 + spin	MoPrP16	5.12	0	LLQ
VL23-01 5	MoPrP16	5.214	0.075	
VL23-01 5 + spin	MoPrP16	5.139	0.151	
VL23-01 6	MoPrP16	3.172	0.083	
VL23-01 6 + spin	MoPrP16	5.12	0	LLQ
VL23-01 7	MoPrP16	51.437	0.114	
VL23-01 7 + spin	MoPrP16	40.375	0.228	
VL23-01 8	MoPrP16	22.656	0	
VL23-01 8 + spin	MoPrP16	19.778	0.121	
VL23-01 9	MoPrP16	46.133	0.741	
VL23-01 9 + spin	MoPrP16	40.547	0.514	
x	MoPrP16	166.539	56.83	
