sample	standard_curve	ngml_av	se_mean	flag
1	MoPrP18	41.676	1.035	
11	MoPrP18	12.37	0.489	
13	MoPrP18	11.762	0.974	
15	MoPrP18	14.085	0.123	
17	MoPrP18	11.091	0.182	
21	MoPrP18	28.959	0.262	
23	MoPrP18	33.193	0.534	
28	MoPrP18	13.411	0.674	
3	MoPrP18	31.929	0.863	
30	MoPrP18	13.102	0.122	
33	MoPrP18	13.164	0.061	
35	MoPrP18	15.444	0.372	
38	MoPrP18	46.83	0.212	
47	MoPrP18	21.976	0.51	
49	MoPrP18	20.137	0.948	
5	MoPrP18	30.603	0.066	
56	MoPrP18	25.964	1.425	
60	MoPrP18	29.352	0.394	
62	MoPrP18	39.682	0.684	
64	MoPrP18	28.565	0.393	
7	MoPrP18	12.247	0.122	
70	MoPrP18	32.26	0.133	
72	MoPrP18	44.388	2.091	
74	MoPrP18	35.202	0	
76	MoPrP18	34.061	0.201	
79	MoPrP18	34.33	0.603	
9	MoPrP18	18.184	0	
MoNeg	MoPrP18	4.096	0	LLQ
MoPosHiQC	MoPrP18	37.911	1.495	
MoPosLoQC	MoPrP18	7.782	0.596	
MoPosMidQC	MoPrP18	29.16	1.642	
