sample	standard_curve	ngml_av	se_mean	flag
A5	MoPrP16	281.466	7.881	
A6	MoPrP16	282.832	4.93	
B6	MoPrP16	256.86	6.968	
C6	MoPrP16	177.878	7.645	
D6	MoPrP16	235.512	3.628	
E6	MoPrP16	180.484	3.172	
F6	MoPrP16	183.096	1.68	
G6	MoPrP16	130.001	2.991	
H6	MoPrP16	221.454	9.285	
I6	MoPrP16	109.905	1.323	
J6	MoPrP16	167.625	0.745	
K6	MoPrP16	111.416	1.699	
L6	MoPrP16	138.766	8.763	
M6	MoPrP16	89.296	2.509	
N5	MoPrP16	160.554	0.372	
N6	MoPrP16	137.093	5.222	
Neg	MoPrP16	10.24	0	LLQ
O5	MoPrP16	84.459	0.777	
O6	MoPrP16	90.834	3.66	
P5	MoPrP16	315.194	4.252	
P6	MoPrP16	269.088	0.586	
PosHiQC	MoPrP16	253.96	7.148	
PosLoQC	MoPrP16	43.423	1.3	
PosMidQC	MoPrP16	188.516	3.739	
Q5	MoPrP16	150.878	4.051	
R5	MoPrP16	75.829	4.732	
R6	MoPrP16	85.62	2.328	
S5	MoPrP16	311.762	5.25	
S6	MoPrP16	302.528	8.415	
T5	MoPrP16	179.74	5.41	
T6	MoPrP16	168.371	2.234	
U6	MoPrP16	122.512	3.751	
