sample	standard_curve	ngml_av	se_mean	flag
A1	MoPrP16	179.534	5.554	
A2	MoPrP16	163.018	1.538	
B1	MoPrP16	91.108	2.207	
B2	MoPrP16	79.396	1.255	
B3	MoPrP16	88.326	3.578	
B4	MoPrP16	80.07	0.387	
B5	MoPrP16	84.258	0.883	
B6	MoPrP16	99.963	1.963	
C1	MoPrP16	178.267	0.809	
C2	MoPrP16	165.467	2.197	
D1	MoPrP16	111.233	1.933	
D2	MoPrP16	84.368	2.747	
D3	MoPrP16	77.662	0.48	
D4	MoPrP16	70.734	0.938	
D5	MoPrP16	78.142	0.193	
D6	MoPrP16	77.758	0.576	
E1	MoPrP16	142.888	5.624	
E2	MoPrP16	151.594	3.082	
F1	MoPrP16	56.9	0.066	
F2	MoPrP16	68.524	2.571	
F3	MoPrP16	63.23	0.948	
F4	MoPrP16	61.95	1.277	
F5	MoPrP16	97.078	0.716	
F6	MoPrP16	78.53	1.54	
MoNeg	MoPrP16	10.24	0	LLQ
MoPosHiQC	MoPrP16	240.307	0	
MoPosLoQC	MoPrP16	33.892	1.021	
MoPosMidQC	MoPrP16	116.878	2.846	
