sample	standard_curve	ngml_av	se_mean	flag
B1	MoPrP16	147.435	4.782	
B2	MoPrP16	162.007	7.795	
B3	MoPrP16	164.398	5.404	
D1	MoPrP16	97.732	2.651	
D2	MoPrP16	136.927	4.519	
D3	MoPrP16	137.296	5.358	
F1	MoPrP16	124.982	2.298	
F2	MoPrP16	127.761	3.475	
F3	MoPrP16	133.15	5.176	
H1	MoPrP16	105.66	1.194	
H2	MoPrP16	105.775	2.389	
H3	MoPrP16	114.805	3.345	
J1	MoPrP16	102.959	1.507	
J2	MoPrP16	87.286	1.336	
J3	MoPrP16	95.821	1.37	
L1	MoPrP16	92.566	0.417	
L2	MoPrP16	120.412	1.133	
L3	MoPrP16	81.679	1.011	
MoNeg	MoPrP16	10.24	0	LLQ
MoPosHiQC	MoPrP16	120.303	2.153	
MoPosLoQC	MoPrP16	23.481	0.601	
MoPosMidQC	MoPrP16	84.622	0.306	
N1	MoPrP16	71.229	0.686	
N2	MoPrP16	95.189	1.157	
N3	MoPrP16	91.63	1.353	
P1	MoPrP16	69.372	0.39	
P2	MoPrP16	64.726	0.385	
P3	MoPrP16	75.767	0.497	
R1	MoPrP16	84.827	0.918	
R2	MoPrP16	76.363	0.099	
R3	MoPrP16	88.313	0.103	
T1	MoPrP16	101.238	0.643	
T2	MoPrP16	90.486	0.623	
T3	MoPrP16	101.024	0.428	
V1	MoPrP16	161.282	0	
V2	MoPrP16	167.606	3.505	
V3	MoPrP16	148.038	3.93	
