sample	standard_curve	ngml_av	se_mean	flag
A1	MoPrP18	192.244	2.336	
A2	MoPrP18	184.957	0	
A3	MoPrP18	175.673	1.158	
B1	MoPrP18	163.689	0.144	
B2	MoPrP18	174.516	0.29	
B3	MoPrP18	165.562	1.154	
C1	MoPrP18	147.587	1.291	
C2	MoPrP18	149.454	0.288	
C3	MoPrP18	166.284	2.74	
D1	MoPrP18	153.044	1.868	
D2	MoPrP18	146.296	0.574	
D3	MoPrP18	131.663	1.722	
E1	MoPrP18	117.583	0.288	
E2	MoPrP18	127.07	0.575	
E3	MoPrP18	119.885	2.014	
F1	MoPrP18	126.926	1.867	
F2	MoPrP18	122.904	1.293	
F3	MoPrP18	122.905	0.144	
G1	MoPrP18	205.879	0.442	
G2	MoPrP18	194.289	2.047	
G3	MoPrP18	199.56	2.053	
H1	MoPrP18	135.967	0.574	
H2	MoPrP18	148.162	1.292	
H3	MoPrP18	135.106	1.722	
I1	MoPrP18	207.796	2.065	
I2	MoPrP18	204.42	6.327	
I3	MoPrP18	187.141	2.184	
J1	MoPrP18	121.036	0.575	
J2	MoPrP18	136.254	0.574	
J3	MoPrP18	114.558	1.586	
MoNeg	MoPrP18	21.325	1.531	
MoPosHiQC	MoPrP18	191.812	5.109	
MoPosLoQC	MoPrP18	43.23	2.136	
MoPosMidQC	MoPrP18	125.917	7.182	
