sample	standard_curve	ngml_av	se_mean	flag
A1	MoPrP16	462.789	8.534	
A2	MoPrP16	480.909	3.407	
B1	MoPrP16	248.552	2.959	
B2	MoPrP16	284.976	3.974	
B3	MoPrP16	245.049	2.755	
B4	MoPrP16	264.322	0.382	
B5	MoPrP16	250.833	8.174	
B6	MoPrP16	371.118	14.73	
C1	MoPrP16	501.134	4.114	
C2	MoPrP16	552.949	2.88	
D1	MoPrP16	305.015	1.446	
D2	MoPrP16	229.151	4.092	
D3	MoPrP16	248.01	4.618	
D4	MoPrP16	252.447	2.423	
D5	MoPrP16	271.046	0.966	
D6	MoPrP16	263.567	2.667	
E1	MoPrP16	496.744	4.375	
E2	MoPrP16	559.74	7.118	
F1	MoPrP16	266.631	3.833	
F2	MoPrP16	329.321	1.298	
F3	MoPrP16	280.017	0.197	
F4	MoPrP16	375.852	1.416	
F5	MoPrP16	373.047	4.694	
F6	MoPrP16	286.153	0	
MoNeg	MoPrP16	8.95	1.29	
MoPosHiQC	MoPrP16	364.656	3.697	
MoPosLoQC	MoPrP16	47.084	0.25	
MoPosMidQC	MoPrP16	177.803	1.123	
