sample	standard_curve	ngml_av	se_mean	flag
A5	MoPrP16	87.803	2.764	
A6	MoPrP16	89.689	1.556	
A7	MoPrP16	85.245	2.349	
A8	MoPrP16	84.84	1.275	
B1	MoPrP16	79.43	1.997	
B2	MoPrP16	82.162	0.868	
B3	MoPrP16	80.649	5.733	
B4	MoPrP16	73.98	11.865	
C1	MoPrP16	50.45	2.271	
C2	MoPrP16	51.585	1.933	
C3	MoPrP16	51.456	0.066	
C4	MoPrP16	49.786	0.134	
D1	MoPrP16	57.886	3.305	
D2	MoPrP16	58.75	0.859	
D3	MoPrP16	49.45	1.004	
D4	MoPrP16	56.435	1.721	
E1	MoPrP16	86.803	4.442	
E6	MoPrP16	83.031	1.204	
E7	MoPrP16	83.032	1.739	
E8	MoPrP16	82.294	0.201	
F1	MoPrP16	89.755	0	
F2	MoPrP16	82.229	1.336	
F3	MoPrP16	83.165	1.338	
F4	MoPrP16	82.63	1.471	
Neg	MoPrP16	10.24	0	LLQ
PosHiQC	MoPrP16	124.565	3.044	
PosLoQC	MoPrP16	16.04	0.175	
PosMedQC	MoPrP16	59.674	0.726	
