plate	row	col	a450_bck	stype	detail	dilution	standard_curve	above_baseline	nominal	ngml	ngml_trunc	flag
226	A	1	1.897	standard	5	1	MoPrP16-old	TRUE	NA	4.89	4.89	
226	A	2	1.952	standard	5	1	MoPrP16-old	TRUE	NA	5.119	5	ULQ
226	A	3	0.308	sample	2	200	MoPrP16	TRUE	NA	143.547	143.547	
226	A	4	0.322	sample	2	200	MoPrP16	TRUE	NA	150.16	150.16	
226	A	5	0.121	sample	18	200	MoPrP16	TRUE	NA	56.453	56.453	
226	A	6	-0.00900000000000001	sample	18	200	MoPrP16	FALSE	NA	0	4.096	LLQ
226	A	7	0.304	sample	59	200	MoPrP16	TRUE	NA	141.66	141.66	
226	A	8	0.242	sample	59	200	MoPrP16	TRUE	NA	112.563	112.563	
226	A	9	0.451	sample	73	200	MoPrP16	TRUE	NA	211.837	211.837	
226	A	10	0.508	sample	73	200	MoPrP16	TRUE	NA	239.546	239.546	
226	A	11	1.734	standard	5	1	MoPrP16	TRUE	5	4.624	4.624	
226	A	12	1.965	standard	5	1	MoPrP16	TRUE	5	5.389	5	ULQ
226	B	1	0.955	standard	2	1	MoPrP16-old	TRUE	NA	1.967	1.967	
226	B	2	0.972	standard	2	1	MoPrP16-old	TRUE	NA	2.008	2.008	
226	B	3	0.309	sample	4	200	MoPrP16	TRUE	NA	144.019	144.019	
226	B	4	0.345	sample	4	200	MoPrP16	TRUE	NA	161.057	161.057	
226	B	5	0.407	sample	20	200	MoPrP16	TRUE	NA	190.644	190.644	
226	B	6	0.428	sample	20	200	MoPrP16	TRUE	NA	200.738	200.738	
226	B	7	0.171	sample	46	200	MoPrP16	TRUE	NA	79.549	79.549	
226	B	8	0.13	sample	46	200	MoPrP16	TRUE	NA	60.603	60.603	
226	B	9	0.34	sample	75	200	MoPrP16	TRUE	NA	158.685	158.685	
226	B	10	0.334	sample	75	200	MoPrP16	TRUE	NA	155.84	155.84	
226	B	11	0.834	standard	2	1	MoPrP16	TRUE	2	2.02	2.02	
226	B	12	0.815	standard	2	1	MoPrP16	TRUE	2	1.971	1.971	
226	C	1	0.467	standard	0.8	1	MoPrP16-old	TRUE	NA	0.911	0.911	
226	C	2	0.383	standard	0.8	1	MoPrP16-old	TRUE	NA	0.746	0.746	
226	C	3	0.268	sample	6	200	MoPrP16	TRUE	NA	124.732	124.732	
226	C	4	0.287	sample	6	200	MoPrP16	TRUE	NA	133.655	133.655	
226	C	5	0.399	sample	22	200	MoPrP16	TRUE	NA	186.808	186.808	
226	C	6	0.389	sample	22	200	MoPrP16	TRUE	NA	182.022	182.022	
226	C	7	0.205	sample	48	200	MoPrP16	TRUE	NA	95.322	95.322	
226	C	8	0.179	sample	48	200	MoPrP16	TRUE	NA	83.254	83.254	
226	C	9	0.285	sample	71	200	MoPrP16	TRUE	NA	132.714	132.714	
226	C	10	0.297	sample	71	200	MoPrP16	TRUE	NA	138.361	138.361	
226	C	11	0.341	standard	0.8	1	MoPrP16	TRUE	0.8	0.796	0.796	
226	C	12	0.354	standard	0.8	1	MoPrP16	TRUE	0.8	0.827	0.827	
226	D	1	0.155	standard	0.32	1	MoPrP16-old	TRUE	NA	0.313	0.313	
226	D	2	0.133	standard	0.32	1	MoPrP16-old	TRUE	NA	0.271	0.271	
226	D	3	0.117	sample	8	200	MoPrP16	TRUE	NA	54.609	54.609	
226	D	4	0.12	sample	8	200	MoPrP16	TRUE	NA	55.992	55.992	
226	D	5	0.364	sample	26	200	MoPrP16	TRUE	NA	170.091	170.091	
226	D	6	0.359	sample	26	200	MoPrP16	TRUE	NA	167.711	167.711	
226	D	7	0.172	sample	50	200	MoPrP16	TRUE	NA	80.012	80.012	
226	D	8	0.182	sample	50	200	MoPrP16	TRUE	NA	84.645	84.645	
226	D	9	0.321	sample	MoPosHiQC	200	MoPrP16	TRUE	NA	149.687	149.687	
226	D	10	0.327	sample	MoPosHiQC	200	MoPrP16	TRUE	NA	152.525	152.525	
226	D	11	0.133	standard	0.32	1	MoPrP16	TRUE	0.32	0.31	0.31	
226	D	12	0.134	standard	0.32	1	MoPrP16	TRUE	0.32	0.312	0.312	
226	E	1	0.06	standard	0.128	1	MoPrP16-old	TRUE	NA	0.131	0.131	
226	E	2	0.054	standard	0.128	1	MoPrP16-old	TRUE	NA	0.119	0.119	
226	E	3	0.09	sample	10	200	MoPrP16	TRUE	NA	42.172	42.172	
226	E	4	0.1	sample	10	200	MoPrP16	TRUE	NA	46.777	46.777	
226	E	5	0.189	sample	29	200	MoPrP16	TRUE	NA	87.891	87.891	
226	E	6	0.191	sample	29	200	MoPrP16	TRUE	NA	88.819	88.819	
226	E	7	0.173	sample	58	200	MoPrP16	TRUE	NA	80.475	80.475	
226	E	8	0.168	sample	58	200	MoPrP16	TRUE	NA	78.16	78.16	
226	E	9	0.148	sample	MoPosMidQC	200	MoPrP16	TRUE	NA	68.912	68.912	
226	E	10	0.154	sample	MoPosMidQC	200	MoPrP16	TRUE	NA	71.685	71.685	
226	E	11	0.049	standard	0.128	1	MoPrP16	TRUE	0.128	0.116	0.116	
226	E	12	0.057	standard	0.128	1	MoPrP16	TRUE	0.128	0.135	0.135	
226	F	1	0.023	standard	0.0512	1	MoPrP16-old	TRUE	NA	0.056	0.056	
226	F	2	0.026	standard	0.0512	1	MoPrP16-old	TRUE	NA	0.062	0.062	
226	F	3	0.115	sample	12	200	MoPrP16	TRUE	NA	53.687	53.687	
226	F	4	0.122	sample	12	200	MoPrP16	TRUE	NA	56.914	56.914	
226	F	5	0.308	sample	78	200	MoPrP16	TRUE	NA	143.547	143.547	
226	F	6	0.312	sample	78	200	MoPrP16	TRUE	NA	145.435	145.435	
226	F	7	0.362	sample	61	200	MoPrP16	TRUE	NA	169.138	169.138	
226	F	8	0.361	sample	61	200	MoPrP16	TRUE	NA	168.662	168.662	
226	F	9	0.056	sample	MoPosLoQC	200	MoPrP16	TRUE	NA	26.509	26.509	
226	F	10	0.053	sample	MoPosLoQC	200	MoPrP16	TRUE	NA	25.125	25.125	
226	F	11	0.017	standard	0.0512	1	MoPrP16	TRUE	0.0512	0.042	0.042	
226	F	12	0.021	standard	0.0512	1	MoPrP16	TRUE	0.0512	0.052	0.052	
226	G	1	0.00600000000000001	standard	0.02048	1	MoPrP16-old	TRUE	NA	0.019	0.02	LLQ
226	G	2	0.00799999999999998	standard	0.02048	1	MoPrP16-old	TRUE	NA	0.023	0.023	
226	G	3	0.084	sample	14	200	MoPrP16	TRUE	NA	39.409	39.409	
226	G	4	0.092	sample	14	200	MoPrP16	TRUE	NA	43.093	43.093	
226	G	5	0.146	sample	34	200	MoPrP16	TRUE	NA	67.988	67.988	
226	G	6	0.149	sample	34	200	MoPrP16	TRUE	NA	69.374	69.374	
226	G	7	0.264	sample	63	200	MoPrP16	TRUE	NA	122.857	122.857	
226	G	8	0.254	sample	63	200	MoPrP16	TRUE	NA	118.174	118.174	
226	G	9	0.019	sample	MoNeg	200	MoPrP16	TRUE	NA	9.372	9.372	
226	G	10	0.023	sample	MoNeg	200	MoPrP16	TRUE	NA	11.236	11.236	
226	G	11	0.00999999999999998	standard	0.02048	1	MoPrP16	TRUE	0.02048	0.026	0.026	
226	G	12	0.00999999999999998	standard	0.02048	1	MoPrP16	TRUE	0.02048	0.026	0.026	
226	H	1	0.00600000000000001	standard	0	1	MoPrP16-old	TRUE	NA	0.019	0.02	LLQ
