sample	standard_curve	ngml_av	se_mean	flag
A1	MoPrP16	268.276	4.676	
A2	MoPrP16	323.642	7.44	
A3	MoPrP16	306.196	1.548	
C1	MoPrP16	268.301	8.502	
C2	MoPrP16	296.539	6.785	
C3	MoPrP16	268.272	3.826	
E1	MoPrP16	221.717	4.07	
E2	MoPrP16	253.113	8.795	
E3	MoPrP16	223.145	4.686	
G1	MoPrP16	204.336	1.605	
G2	MoPrP16	192.165	5.767	
G3	MoPrP16	186.598	2.178	
I1	MoPrP16	169.654	0.588	
I2	MoPrP16	172.794	1.767	
I3	MoPrP16	178.108	4.334	
K1	MoPrP16	168.087	1.763	
K2	MoPrP16	176.535	4.724	
K3	MoPrP16	163.979	0	
M1	MoPrP16	163.588	0	
M2	MoPrP16	162.808	1.172	
M3	MoPrP16	195.935	0.797	
MoNeg	MoPrP16	2.56	0	LLQ
MoPosHiQC	MoPrP16	262.351	6.339	
MoPosLoQC	MoPrP16	42.883	0	
MoPosMidQC	MoPrP16	170.046	0.196	
O1	MoPrP16	106.484	0.193	
O2	MoPrP16	136.011	1.16	
O3	MoPrP16	129.829	1.544	
Q1	MoPrP16	146.858	5.431	
Q2	MoPrP16	164.959	2.932	
Q3	MoPrP16	157.154	3.311	
S1	MoPrP16	177.919	6.5	
S2	MoPrP16	203.138	4.009	
S3	MoPrP16	177.12	2.559	
U1	MoPrP16	300.464	1.538	
U2	MoPrP16	316.221	5.814	
U3	MoPrP16	340.458	2.987	
