sample	standard_curve	ngml_av	se_mean	flag
A4	MoPrP18	155.812	0.275	
A5	MoPrP18	169.343	0	
A6	MoPrP18	145.082	2.749	
B4	MoPrP18	146.318	0.963	
B5	MoPrP18	151.407	1.101	
B6	MoPrP18	158.018	2.481	
C4	MoPrP18	148.106	0.275	
C5	MoPrP18	138.212	0.824	
C6	MoPrP18	146.868	0.962	
D4	MoPrP18	118.143	2.755	
D5	MoPrP18	133.954	0.686	
D6	MoPrP18	127.91	2.061	
E4	MoPrP18	108.762	1.935	
E5	MoPrP18	108.348	0.415	
E6	MoPrP18	115.251	1.792	
F4	MoPrP18	96.548	0.837	
F5	MoPrP18	113.454	4.691	
F6	MoPrP18	111.799	4.142	
G4	MoPrP18	174.332	1.11	
G5	MoPrP18	180.589	4.037	
G6	MoPrP18	178.637	0.695	
H4	MoPrP18	126.124	0.274	
H5	MoPrP18	117.18	0.688	
H6	MoPrP18	125.574	2.2	
I4	MoPrP18	182.675	2.508	
I5	MoPrP18	173.916	0.694	
J4	MoPrP18	94.035	1.677	
J5	MoPrP18	117.732	0.138	
J6	MoPrP18	106.549	1.938	
MoNeg	MoPrP18	19.304	1.495	
MoPosHiQC	MoPrP18	185.045	2.372	
MoPosLoQC	MoPrP18	41.043	1.268	
MoPosMidQC	MoPrP18	109.316	0.829	
